Base Bet,Target Profit,Win Rate,Bust Rate,EV (Approx)
10,20,0.9766,0.0234,-10.186
10,50,0.9484,0.0516,-18.111999999999995
10,100,0.8986,0.1014,-38.91799999999999
10,200,0.8028,0.1972,-89.88399999999999
20,20,0.981,0.019,-4.509999999999998
20,50,0.9346,0.0654,-36.327999999999996
20,100,0.8892,0.1108,-51.79600000000001
20,200,0.8068,0.1932,-84.00400000000002
50,20,0.9556,0.0444,-37.276
50,50,0.9554,0.0446,-8.872
50,100,0.9182,0.0818,-12.065999999999988
50,200,0.8534,0.1466,-15.50200000000001
